sample;annotation
Фруате;[(1, 7, 'B-BRAND')]
Albert;[(1, 7, 'B-BRAND')]
Kikkoman;[(1, 9, 'B-BRAND')]
AURA;[(1, 5, 'B-BRAND')]
48 Копеек;[(1, 2, 'B-BRAND'), (3, 9, 'I-BRAND')]
ERDINGER ж/б;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND')]
ООО Лебедяньмолоко;[(1, 3, 'B-BRAND'), (4, 18, 'I-BRAND')]
Ready;[(1, 6, 'B-BRAND')]
милти;[(1, 6, 'B-BRAND')]
вкус детства;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND')]
Рио Чико;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Кухенвиль;[(1, 10, 'B-BRAND')]
Городецкий молочный завод;[(1, 10, 'B-BRAND'), (11, 18, 'I-BRAND'), (19, 24, 'I-BRAND')]
завод Алёшина;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
Пучеж;[(1, 6, 'B-BRAND')]
эко пышка;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND')]
Пискарёвский;[(1, 13, 'B-BRAND')]
Тот самый торт;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND'), (9, 13, 'I-BRAND')]
ЧЕПФА;[(1, 6, 'B-BRAND')]
Fitelle;[(1, 8, 'B-BRAND')]
Напиток газированный;[(1, 7, 'B-BRAND'), (8, 20, 'I-BRAND')]
Сельский дом;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND')]
Madina Trade;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Maxler;[(1, 7, 'B-BRAND')]
Bioniva;[(1, 8, 'B-BRAND')]
Emma;[(1, 5, 'B-BRAND')]
Mebelux;[(1, 8, 'B-BRAND')]
Еда будущего;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND')]
Ясная поляна;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Му-у;[(1, 5, 'B-BRAND')]
Богородское Село;[(1, 11, 'B-BRAND'), (12, 16, 'I-BRAND')]
Cheetos;[(1, 8, 'B-BRAND')]
Золото Сеймы;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Яшкино;[(1, 7, 'B-BRAND')]
МК HIGH;[(1, 2, 'B-BRAND'), (3, 7, 'I-BRAND')]
Хрустим;[(1, 8, 'B-BRAND')]
Покровский хлеб;[(1, 10, 'B-BRAND'), (11, 15, 'I-BRAND')]
Азербайджанский гранат,ООО «Маяк»,BEL AZ AGRO;[(1, 15, 'B-BRAND'), (16, 25, 'I-BRAND'), (26, 35, 'I-BRAND'), (36, 37, 'I-BRAND'), (38, 42, 'I-BRAND')]
Вкус и польза;[(1, 4, 'B-BRAND'), (5, 5, 'I-BRAND'), (6, 12, 'I-BRAND')]
Предгорье Алтая;[(1, 9, 'B-BRAND'), (10, 15, 'I-BRAND')]
ИндиЛайт;[(1, 9, 'B-BRAND')]
Весёлые жнецы;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
OnlyFit;[(1, 8, 'B-BRAND')]
Cornicorn;[(1, 10, 'B-BRAND')]
Бингрэ;[(1, 7, 'B-BRAND')]
СПХ (колхоз) Центральный;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND'), (12, 23, 'I-BRAND')]
Белорусское Золотое;[(1, 11, 'B-BRAND'), (12, 19, 'I-BRAND')]
Солнышко;[(1, 9, 'B-BRAND')]
Росинка;[(1, 8, 'B-BRAND')]
Луховицкая;[(1, 11, 'B-BRAND')]
Каскад молокозавод;[(1, 6, 'B-BRAND'), (7, 18, 'I-BRAND')]
ПАО Красный Октябрь;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 18, 'I-BRAND')]
Галичанська;[(1, 12, 'B-BRAND')]
Черемушки;[(1, 10, 'B-BRAND')]
Viva Grano;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
Филевское мороженое;[(1, 9, 'B-BRAND'), (10, 19, 'I-BRAND')]
Бон Пари Jumble;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND'), (8, 14, 'I-BRAND')]
свитлогорие;[(1, 12, 'B-BRAND')]
Денко;[(1, 6, 'B-BRAND')]
Lidl;[(1, 5, 'B-BRAND')]
Múúú;[(1, 5, 'B-BRAND')]
Индана;[(1, 7, 'B-BRAND')]
eco milk;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Чудесный край;[(1, 8, 'B-BRAND'), (9, 13, 'I-BRAND')]
Мой;[(1, 4, 'B-BRAND')]
Пчелиная аптека,Медовая долина;[(1, 8, 'B-BRAND'), (9, 22, 'I-BRAND'), (23, 29, 'I-BRAND')]
Pikok;[(1, 6, 'B-BRAND')]
Для Внучат,Абрико,IRGA Group;[(1, 3, 'B-BRAND'), (4, 21, 'I-BRAND'), (22, 27, 'I-BRAND')]
Славянка;[(1, 9, 'B-BRAND')]
vitamia;[(1, 8, 'B-BRAND')]
ООО Берекет;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND')]
Ростагрокомплекс;[(1, 17, 'B-BRAND')]
Гранец;[(1, 7, 'B-BRAND')]
Самбери;[(1, 8, 'B-BRAND')]
МИНСТРАЛЬ;[(1, 10, 'B-BRAND')]
Ополье;[(1, 7, 'B-BRAND')]
ООО АЙСКЕЙК-ЭКО;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND')]
Шхуна;[(1, 6, 'B-BRAND')]
Global Functional Drinks;[(1, 6, 'B-BRAND'), (7, 16, 'I-BRAND'), (17, 23, 'I-BRAND')]
Хлебный Дар;[(1, 7, 'B-BRAND'), (8, 11, 'I-BRAND')]
Усольский Свинокомбинат;[(1, 9, 'B-BRAND'), (10, 23, 'I-BRAND')]
Azure;[(1, 6, 'B-BRAND')]
Любимый,ВБД,Лебедянский;[(1, 24, 'B-BRAND')]
Брест-Литовск;[(1, 14, 'B-BRAND')]
Coolcola;[(1, 9, 'B-BRAND')]
Bonomar;[(1, 8, 'B-BRAND')]
Пиканта;[(1, 8, 'B-BRAND')]
Wychwood Brewery;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
Домашкино;[(1, 10, 'B-BRAND')]
перекрёсток;[(1, 12, 'B-BRAND')]
Assortel;[(1, 9, 'B-BRAND')]
Flavorite;[(1, 10, 'B-BRAND')]
хлебный спас;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Пискаревская;[(1, 13, 'B-BRAND')]
Русский Аппетит;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
царская ягода;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Горячая штучка;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Skittles;[(1, 9, 'B-BRAND')]
витьба;[(1, 7, 'B-BRAND')]
Green feta;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Томося;[(1, 7, 'B-BRAND')]
Хуажев А.З.;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Умные сладости;[(1, 5, 'B-BRAND'), (6, 14, 'I-BRAND')]
дядя ваня;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Деревня Чернышиха;[(1, 7, 'B-BRAND'), (8, 17, 'I-BRAND')]
Эконива;[(1, 8, 'B-BRAND')]
Здрава крекер;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Alpenland;[(1, 10, 'B-BRAND')]
Полезный сок;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND')]
Океан вкуса;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Вкусные консервы;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
Novaya Stolica;[(1, 6, 'B-BRAND'), (7, 14, 'I-BRAND')]
Mission;[(1, 8, 'B-BRAND')]
Грамоты;[(1, 8, 'B-BRAND')]
Русский холодъ;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Тенера;[(1, 7, 'B-BRAND')]
Хлебушкино;[(1, 11, 'B-BRAND')]
Comella;[(1, 8, 'B-BRAND')]
MEGA;[(1, 5, 'B-BRAND')]
сладиал;[(1, 8, 'B-BRAND')]
Belvoir Fruit Farms, Pringles;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND'), (13, 18, 'I-BRAND'), (19, 27, 'I-BRAND')]
Курганский стандарт,Exclusive standard;[(1, 10, 'B-BRAND'), (11, 28, 'I-BRAND'), (29, 37, 'I-BRAND')]
Платье в горошек;[(1, 6, 'B-BRAND'), (7, 7, 'I-BRAND'), (8, 15, 'I-BRAND')]
Галич;[(1, 6, 'B-BRAND')]
короваево;[(1, 10, 'B-BRAND')]
Snickers;[(1, 9, 'B-BRAND')]
nina-farina;[(1, 12, 'B-BRAND')]
Бин боб;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
Garden of Life;[(1, 6, 'B-BRAND'), (7, 8, 'I-BRAND'), (9, 13, 'I-BRAND')]
ООО Натура Про;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND'), (10, 13, 'I-BRAND')]
Фрутоняня;[(1, 10, 'B-BRAND')]
Вкусы Адыгеи;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Митлесс;[(1, 8, 'B-BRAND')]
hochland;[(1, 9, 'B-BRAND')]
Bounty, Mars, Mars Chocolat France;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND'), (13, 16, 'I-BRAND'), (17, 24, 'I-BRAND'), (25, 31, 'I-BRAND')]
Гринфилд;[(1, 9, 'B-BRAND')]
Milk CHoCOLAE BAR;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND'), (13, 16, 'I-BRAND')]
Маркет, Центральная крупяная компания;[(1, 7, 'B-BRAND'), (8, 18, 'I-BRAND'), (19, 26, 'I-BRAND'), (27, 35, 'I-BRAND')]
Зелёная линия, Дары природы, Перекрёсток;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND'), (14, 17, 'I-BRAND'), (18, 25, 'I-BRAND'), (26, 37, 'I-BRAND')]
Королёвский хлеб;[(1, 11, 'B-BRAND'), (12, 16, 'I-BRAND')]
Маркет Перекрёсток;[(1, 6, 'B-BRAND'), (7, 18, 'I-BRAND')]
Северные рецепты;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
Ярмарка;[(1, 8, 'B-BRAND')]
Огненный великий сурт;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND'), (16, 20, 'I-BRAND')]
Традиции вкуса;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
Molkom;[(1, 7, 'B-BRAND')]
Владкон;[(1, 8, 'B-BRAND')]
Ландис;[(1, 7, 'B-BRAND')]
Mixbar;[(1, 7, 'B-BRAND')]
ООО Влад;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Вемол;[(1, 6, 'B-BRAND')]
Yoguru;[(1, 7, 'B-BRAND')]
BioTechUSA;[(1, 11, 'B-BRAND')]
Хлебный бутик;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Life;[(1, 5, 'B-BRAND')]
Santa Bremor;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Viči;[(1, 5, 'B-BRAND')]
БонакваThe Coca-Cola Company;[(1, 10, 'B-BRAND'), (11, 19, 'I-BRAND'), (20, 27, 'I-BRAND')]
Naturis;[(1, 8, 'B-BRAND')]
Ясо;[(1, 4, 'B-BRAND')]
Сармич;[(1, 7, 'B-BRAND')]
Промоконсервы;[(1, 14, 'B-BRAND')]
Фунтик;[(1, 7, 'B-BRAND')]
ВИЛЛ;[(1, 5, 'B-BRAND')]
100% GOLD;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Gustarichi;[(1, 11, 'B-BRAND')]
Богатырь;[(1, 9, 'B-BRAND')]
Добрый сок;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
TM Sun Sugar;[(1, 2, 'B-BRAND'), (3, 5, 'I-BRAND'), (6, 11, 'I-BRAND')]
Молочная Страна;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND')]
Воды Рычал–су;[(1, 4, 'B-BRAND'), (5, 13, 'I-BRAND')]
Domik-v-derevne;[(1, 16, 'B-BRAND')]
Владимирский Стандарт;[(1, 12, 'B-BRAND'), (13, 21, 'I-BRAND')]
Активиа;[(1, 8, 'B-BRAND')]
Ржаной бочонок;[(1, 6, 'B-BRAND'), (7, 14, 'I-BRAND')]
Увелка;[(1, 7, 'B-BRAND')]
Astir;[(1, 6, 'B-BRAND')]
империя фудс;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Primekraft;[(1, 11, 'B-BRAND')]
Приосколье;[(1, 11, 'B-BRAND')]
ЕвроПрестиж, Ого!.;[(1, 12, 'B-BRAND'), (13, 18, 'I-BRAND')]
Billa Bio;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
Milka, Милка;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Хлеб наш пекарня;[(1, 4, 'B-BRAND'), (5, 7, 'I-BRAND'), (8, 15, 'I-BRAND')]
КАЛИФЛРНИЯ;[(1, 11, 'B-BRAND')]
Ошмянские традиции;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]
Королевский вкус;[(1, 11, 'B-BRAND'), (12, 16, 'I-BRAND')]
Торгрвый дом Сметанин;[(1, 8, 'B-BRAND'), (9, 11, 'I-BRAND'), (12, 20, 'I-BRAND')]
Селяночка;[(1, 10, 'B-BRAND')]
Домик в деревне;[(1, 5, 'B-BRAND'), (6, 6, 'I-BRAND'), (7, 14, 'I-BRAND')]
Букет Кубани;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Зелёная линия;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Боговарово;[(1, 11, 'B-BRAND')]
НАША!;[(1, 6, 'B-BRAND')]
РадоГрад;[(1, 9, 'B-BRAND')]
ООО ТПК НВН;[(1, 3, 'B-BRAND'), (4, 6, 'I-BRAND'), (7, 10, 'I-BRAND')]
Biomio;[(1, 7, 'B-BRAND')]
Реж-хлеб;[(1, 9, 'B-BRAND')]
Пей лето;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
ООО Скайфуд;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND')]
аконд;[(1, 6, 'B-BRAND')]
творог;[(1, 7, 'B-BRAND')]
Сормовская кондитерская фабрика;[(1, 10, 'B-BRAND'), (11, 22, 'I-BRAND'), (23, 30, 'I-BRAND')]
Окское;[(1, 7, 'B-BRAND')]
Generic;[(1, 8, 'B-BRAND')]
Башкирская содовая компания, Сода пищевая;[(1, 10, 'B-BRAND'), (11, 17, 'I-BRAND'), (18, 26, 'I-BRAND'), (27, 30, 'I-BRAND'), (31, 38, 'I-BRAND')]
Мещерскіе Росы;[(1, 9, 'B-BRAND'), (10, 14, 'I-BRAND')]
5 Морей;[(1, 1, 'B-BRAND'), (2, 7, 'I-BRAND')]
Село зеленое;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND')]
Family food;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Монетка;[(1, 8, 'B-BRAND')]
дымов;[(1, 6, 'B-BRAND')]
Благодарушка;[(1, 13, 'B-BRAND')]
bonavita;[(1, 9, 'B-BRAND')]
Чудесный лес;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND')]
Nilambari;[(1, 10, 'B-BRAND')]
Добрый;[(1, 7, 'B-BRAND')]
Продимекс;[(1, 10, 'B-BRAND')]
ВБД, Домик в деревне, ООО «ВБД»;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND'), (10, 10, 'I-BRAND'), (11, 18, 'I-BRAND'), (19, 21, 'I-BRAND'), (22, 27, 'I-BRAND')]
Better Valu;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Truffles;[(1, 9, 'B-BRAND')]
just;[(1, 5, 'B-BRAND')]
Shoko Box;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
Русский десерт;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Вкусно и Точка;[(1, 6, 'B-BRAND'), (7, 7, 'I-BRAND'), (8, 13, 'I-BRAND')]
PepsiCo;[(1, 8, 'B-BRAND')]
Очень важная корова,ЗМК;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND'), (12, 22, 'I-BRAND')]
York Fresh;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
ТМ Дымка;[(1, 2, 'B-BRAND'), (3, 8, 'I-BRAND')]
АМ липкий;[(1, 2, 'B-BRAND'), (3, 9, 'I-BRAND')]
Буревесник;[(1, 11, 'B-BRAND')]
Рижский Хлеб;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Agama;[(1, 6, 'B-BRAND')]
Sealect, ซีเล็ค;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND')]
Русский рыбный мир;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND'), (14, 17, 'I-BRAND')]
Предгорье Кавказа;[(1, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
Легенда Ямала;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Zeromi;[(1, 7, 'B-BRAND')]
Grune fee;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
Martini;[(1, 8, 'B-BRAND')]
Dobry;[(1, 6, 'B-BRAND')]
Петровская бухта;[(1, 10, 'B-BRAND'), (11, 16, 'I-BRAND')]
Перчес;[(1, 7, 'B-BRAND')]
Тревиль;[(1, 8, 'B-BRAND')]
Milka;[(1, 6, 'B-BRAND')]
Edite Bibite;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Now;[(1, 4, 'B-BRAND')]
Ironman;[(1, 8, 'B-BRAND')]
Медовуха;[(1, 9, 'B-BRAND')]
Gurieli;[(1, 8, 'B-BRAND')]
ООО Тестори;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND')]
Джюса-А;[(1, 8, 'B-BRAND')]
Владимирские;[(1, 13, 'B-BRAND')]
Raw to go;[(1, 3, 'B-BRAND'), (4, 5, 'I-BRAND'), (6, 8, 'I-BRAND')]
Сибирская Ягода;[(1, 9, 'B-BRAND'), (10, 15, 'I-BRAND')]
Unagrande;[(1, 10, 'B-BRAND')]
Lotte;[(1, 6, 'B-BRAND')]
БалтАгроС;[(1, 10, 'B-BRAND')]
RÖSTfein;[(1, 9, 'B-BRAND')]
baby fox;[(1, 4, 'B-BRAND'), (5, 8, 'I-BRAND')]
Маркет перекресток;[(1, 6, 'B-BRAND'), (7, 18, 'I-BRAND')]
wafer SANDWICH;[(1, 5, 'B-BRAND'), (6, 14, 'I-BRAND')]
плпл;[(1, 5, 'B-BRAND')]
Молочная благодать;[(1, 8, 'B-BRAND'), (9, 18, 'I-BRAND')]
Моя сладкая провинция;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 20, 'I-BRAND')]
Святой Источник;[(1, 6, 'B-BRAND'), (7, 15, 'I-BRAND')]
Савинов;[(1, 8, 'B-BRAND')]
Big bon;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
Nestlé;[(1, 7, 'B-BRAND')]
Wi & Ri;[(1, 2, 'B-BRAND'), (3, 3, 'I-BRAND'), (4, 6, 'I-BRAND')]
Традиции предков;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
Haribo;[(1, 7, 'B-BRAND')]
Twister;[(1, 8, 'B-BRAND')]
Bind;[(1, 5, 'B-BRAND')]
петелинка;[(1, 10, 'B-BRAND')]
Салаты и Деликатесы;[(1, 6, 'B-BRAND'), (7, 7, 'I-BRAND'), (8, 18, 'I-BRAND')]
лицкое;[(1, 7, 'B-BRAND')]
Томское молоко.;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Сēрнур;[(1, 7, 'B-BRAND')]
Orbir;[(1, 6, 'B-BRAND')]
Полевское;[(1, 10, 'B-BRAND')]
Zero;[(1, 5, 'B-BRAND')]
Пассим;[(1, 7, 'B-BRAND')]
Don Shelldon;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND')]
Хлебозавод 28;[(1, 10, 'B-BRAND'), (11, 13, 'I-BRAND')]
Lactica;[(1, 8, 'B-BRAND')]
Несите, Nestlé;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
ложки вилки;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
60;[(1, 3, 'B-BRAND')]
Sanita;[(1, 7, 'B-BRAND')]
Московский картофель,Русский продукт;[(1, 10, 'B-BRAND'), (11, 27, 'I-BRAND'), (28, 35, 'I-BRAND')]
Стоевь;[(1, 7, 'B-BRAND')]
Yelli;[(1, 6, 'B-BRAND')]
Рогачёв;[(1, 8, 'B-BRAND')]
Торговая площадь;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
СП ОАО СПАРТАК;[(1, 2, 'B-BRAND'), (3, 5, 'I-BRAND'), (6, 13, 'I-BRAND')]
Unknown;[(1, 8, 'B-BRAND')]
Лебедянь;[(1, 9, 'B-BRAND')]
Берендеевка;[(1, 12, 'B-BRAND')]
Каскад;[(1, 7, 'B-BRAND')]
Акционерное общество Продовольственная компания ЛИМАК, филиал Подгоренский мукомольный завод;[(1, 11, 'B-BRAND'), (12, 19, 'I-BRAND'), (20, 36, 'I-BRAND'), (37, 44, 'I-BRAND'), (45, 50, 'I-BRAND'), (51, 56, 'I-BRAND'), (57, 68, 'I-BRAND'), (69, 79, 'I-BRAND'), (80, 85, 'I-BRAND')]
левушка;[(1, 8, 'B-BRAND')]
Лента Fresh;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Grondard;[(1, 9, 'B-BRAND')]
Rusberry;[(1, 9, 'B-BRAND')]
Балтком;[(1, 8, 'B-BRAND')]
Северная гавань,АО «Тандер»;[(1, 8, 'B-BRAND'), (9, 17, 'I-BRAND'), (18, 26, 'I-BRAND')]
Dolmio;[(1, 7, 'B-BRAND')]
Московский провансаль;[(1, 10, 'B-BRAND'), (11, 21, 'I-BRAND')]
российское молоко;[(1, 10, 'B-BRAND'), (11, 17, 'I-BRAND')]
Скит;[(1, 5, 'B-BRAND')]
ERC;[(1, 4, 'B-BRAND')]
Korobka;[(1, 8, 'B-BRAND')]
Икрима,Санта-Бремор;[(1, 20, 'B-BRAND')]
ООО МистральТрейдинг;[(1, 3, 'B-BRAND'), (4, 20, 'I-BRAND')]
hi;[(1, 3, 'B-BRAND')]
Cēsu;[(1, 5, 'B-BRAND')]
ООО Поляна;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
Urzante;[(1, 8, 'B-BRAND')]
31721;[(1, 6, 'B-BRAND')]
ЧеховСахар;[(1, 11, 'B-BRAND')]
сочная долина;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Evian;[(1, 6, 'B-BRAND')]
Darsib;[(1, 7, 'B-BRAND')]
Utenos;[(1, 7, 'B-BRAND')]
Natty's & Go;[(1, 7, 'B-BRAND'), (8, 8, 'I-BRAND'), (9, 11, 'I-BRAND')]
вдохновение;[(1, 12, 'B-BRAND')]
Crunchips Lorenz;[(1, 9, 'B-BRAND'), (10, 16, 'I-BRAND')]
наЕДА;[(1, 6, 'B-BRAND')]
ХРУС team;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Сокол;[(1, 6, 'B-BRAND')]
ООО «Сады Бахчисарая»;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND'), (9, 20, 'I-BRAND')]
Стебель Бамбука;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
ООО Перфетти ван мелле;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND'), (12, 14, 'I-BRAND'), (15, 20, 'I-BRAND')]
МолкоМ;[(1, 7, 'B-BRAND')]
Продукты-с-фермы,Поречский;[(1, 27, 'B-BRAND')]
караваево;[(1, 10, 'B-BRAND')]
Мистраль;[(1, 9, 'B-BRAND')]
Minin;[(1, 6, 'B-BRAND')]
VICI;[(1, 5, 'B-BRAND')]
Россия — щедрая душа!;[(1, 6, 'B-BRAND'), (7, 7, 'I-BRAND'), (8, 13, 'I-BRAND'), (14, 19, 'I-BRAND')]
Шельф-2000;[(1, 11, 'B-BRAND')]
Агуша, ВБД;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
Золотая бочка,Пивоварня Москва-Эфес;[(1, 7, 'B-BRAND'), (8, 22, 'I-BRAND'), (23, 34, 'I-BRAND')]
Cuisine Royale;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Помидорка;[(1, 10, 'B-BRAND')]
Piccolo;[(1, 8, 'B-BRAND')]
Brüggen;[(1, 8, 'B-BRAND')]
Упс;[(1, 4, 'B-BRAND')]
Солнечная семечка;[(1, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
BURGER XXL;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
Дарина;[(1, 7, 'B-BRAND')]
Русский Сыр;[(1, 7, 'B-BRAND'), (8, 11, 'I-BRAND')]
Жигулевское;[(1, 12, 'B-BRAND')]
ПРОСТО;[(1, 7, 'B-BRAND')]
Laska;[(1, 6, 'B-BRAND')]
Bacardi;[(1, 8, 'B-BRAND')]
Ереванская шоколадная компания;[(1, 10, 'B-BRAND'), (11, 20, 'I-BRAND'), (21, 29, 'I-BRAND')]
Lay's,Фрито Лей Мануфактуринг,PepsiCo Inc;[(1, 11, 'B-BRAND'), (12, 14, 'I-BRAND'), (15, 35, 'I-BRAND'), (36, 39, 'I-BRAND')]
Костромской мясокомбинат;[(1, 11, 'B-BRAND'), (12, 24, 'I-BRAND')]
добрая Милёна;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
дары памира;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
Пантошка,Арго;[(1, 14, 'B-BRAND')]
wrigley's eclipse;[(1, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
Mlekara Sabac;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
FRY'S;[(1, 6, 'B-BRAND')]
Nuttoz;[(1, 7, 'B-BRAND')]
Nattys&Go;[(1, 10, 'B-BRAND')]
юбилейное;[(1, 10, 'B-BRAND')]
McVitie's;[(1, 10, 'B-BRAND')]
Хлебцы Молодцы,Greniki;[(1, 6, 'B-BRAND'), (7, 22, 'I-BRAND')]
ООО Белёвские сладости;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND'), (13, 21, 'I-BRAND')]
6 соток;[(1, 1, 'B-BRAND'), (2, 7, 'I-BRAND')]
Любимый Хлеб;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
МахеевЪ;[(1, 8, 'B-BRAND')]
Рыбпромпродукт;[(1, 15, 'B-BRAND')]
Поспехинская макаронная фабрика;[(1, 12, 'B-BRAND'), (13, 22, 'I-BRAND'), (23, 30, 'I-BRAND')]
Пилигрим;[(1, 9, 'B-BRAND')]
топ;[(1, 4, 'B-BRAND')]
хорошее дело;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Раменский деликатес;[(1, 9, 'B-BRAND'), (10, 19, 'I-BRAND')]
Эгоша Kids Star;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND'), (10, 14, 'I-BRAND')]
Сохраний традиций;[(1, 8, 'B-BRAND'), (9, 17, 'I-BRAND')]
ООО 7 Утра;[(1, 3, 'B-BRAND'), (4, 4, 'I-BRAND'), (5, 9, 'I-BRAND')]
Apotheke;[(1, 9, 'B-BRAND')]
